Tarih;TP FG J121;Watsons;Maskara;Dolar;İndirim;Şampuan;Parfüm;Sephora
2014-03;189.72;14;14;1;20;22;27;7
2014-04;191.74;10;15;1;20;23;29;6
2014-05;194.07;11;15;1;21;23;33;7
2014-06;196.17;14;14;1;21;19;29;7
2014-07;197.23;19;15;1;19;25;31;7
2014-08;198.97;17;14;1;19;26;30;7
2014-09;200.93;21;17;1;22;27;35;8
2014-10;202.51;22;18;1;20;26;34;8
2014-11;203.88;21;19;1;24;27;37;9
2014-12;204.88;23;22;1;26;25;42;13
2015-01;206.51;18;17;1;24;25;35;11
2015-02;206.5;22;20;2;27;29;40;10
2015-03;207.27;23;23;2;26;27;35;8
2015-04;209.09;18;20;2;26;27;36;9
2015-05;209.78;17;21;2;22;24;34;8
2015-06;211.6;18;17;3;21;26;32;10
2015-07;213.0;21;21;2;22;26;34;9
2015-08;214.04;21;20;3;23;28;34;10
2015-09;215.42;26;27;3;24;28;38;12
2015-10;217.01;21;25;3;24;33;39;11
2015-11;218.58;24;29;3;25;37;40;12
2015-12;219.76;30;33;2;30;32;48;16
2016-01;221.99;20;29;2;28;30;35;13
2016-02;222.99;25;34;2;31;37;44;13
2016-03;223.91;23;34;3;29;36;39;11
2016-04;225.13;22;31;2;25;33;39;11
2016-05;225.62;26;30;4;24;37;41;12
2016-06;226.96;24;27;3;23;34;38;13
2016-07;228.12;26;27;4;20;32;32;10
2016-08;228.88;25;31;2;24;31;36;12
2016-09;229.67;29;39;2;25;39;42;12
2016-10;231.05;24;36;3;25;43;41;11
2016-11;233.28;24;33;5;30;40;43;12
2016-12;236.16;42;38;6;36;37;46;17
2017-01;240.28;22;36;7;35;40;41;19
2017-02;244.99;31;42;6;38;49;50;17
2017-03;247.49;27;45;5;33;45;44;14
2017-04;250.93;25;40;5;31;43;43;13
2017-05;252.36;23;35;5;30;38;44;14
2017-06;254.57;29;34;4;30;43;45;18
2017-07;257.02;24;30;4;26;45;40;19
2017-08;257.71;33;42;3;30;50;47;18
2017-09;260.67;27;39;4;28;52;46;17
2017-10;261.58;45;55;6;31;53;54;13
2017-11;262.77;60;46;6;49;53;59;23
2017-12;266.01;57;44;5;43;50;60;25
2018-01;269.28;35;40;4;41;52;54;26
2018-02;272.17;51;53;4;42;55;60;18
2018-03;272.35;53;51;5;40;54;53;17
2018-04;277.61;39;46;6;37;51;54;17
2018-05;280.09;44;43;13;35;50;54;16
2018-06;284.23;51;40;9;36;51;50;21
2018-07;288.32;46;38;11;29;53;50;18
2018-08;294.48;73;53;51;32;55;50;20
2018-09;318.22;47;48;23;37;61;58;27
2018-10;337.41;61;69;20;52;67;62;18
2018-11;344.87;66;71;13;100;69;72;25
2018-12;347.64;60;58;10;57;62;69;27
2019-01;351.95;49;55;11;49;63;57;36
2019-02;349.39;63;68;8;55;70;74;29
2019-03;348.81;63;66;16;45;63;61;24
2019-04;354.36;52;62;20;38;66;59;29
2019-05;354.97;62;62;19;41;67;64;27
2019-06;365.13;60;61;15;48;69;65;45
2019-07;367.18;75;66;16;38;70;60;30
2019-08;363.88;74;73;15;39;77;63;30
2019-09;372.34;57;70;11;39;72;75;31
2019-10;372.77;56;66;16;46;80;73;30
2019-11;374.3;86;93;9;75;81;81;46
2019-12;373.72;63;71;9;44;66;73;39
2020-01;379.38;52;77;9;43;71;61;44
2020-02;376.81;66;90;10;47;78;73;34
2020-03;379.04;63;66;12;50;63;48;27
2020-04;384.89;65;47;11;41;71;32;28
2020-05;390.16;75;75;12;44;83;52;36
2020-06;400.01;68;76;8;42;77;58;41
2020-07;402.79;71;90;8;37;76;61;35
2020-08;405.94;66;78;16;33;71;60;27
2020-09;408.83;67;83;13;41;76;64;26
2020-10;412.07;54;72;15;41;79;67;25
2020-11;420.7;55;76;28;69;78;61;30
2020-12;422.96;58;62;12;40;74;59;28
2021-01;436.57;46;71;11;37;79;55;27
2021-02;426.7;56;98;14;40;79;70;25
2021-03;436.71;51;95;24;34;76;61;23
2021-04;442.11;48;80;17;35;72;55;20
2021-05;443.79;48;65;13;37;73;56;21
2021-06;460.0;45;66;15;31;72;65;27
2021-07;464.42;47;70;10;29;68;67;24
2021-08;477.62;45;67;11;29;68;68;21
2021-09;485.52;49;75;13;31;66;72;22
2021-10;488.7;45;75;24;35;72;72;21
2021-11;500.64;49;78;55;52;71;75;29
2021-12;552.84;46;63;100;46;62;65;23
2022-01;611.72;45;74;36;43;71;66;24
2022-02;662.14;57;89;24;52;82;76;23
2022-03;688.48;50;87;24;66;78;73;22
2022-04;685.27;48;74;14;56;75;84;24
2022-05;711.98;46;77;25;42;69;87;23
2022-06;737.36;45;77;31;56;68;80;27
2022-07;759.17;58;88;24;67;73;79;30
2022-08;789.45;65;81;19;53;76;81;27
2022-09;824.69;51;86;18;61;75;90;25
2022-10;856.64;48;84;14;49;80;91;25
2022-11;883.79;88;82;13;58;82;91;40
2022-12;905.11;51;91;10;47;78;95;34
2023-01;940.91;48;88;11;39;74;87;35
2023-02;959.45;41;74;10;30;72;73;30
2023-03;983.91;47;75;10;34;70;84;34
2023-04;992.96;59;94;12;34;75;87;36
2023-05;1003.8;45;88;16;30;69;80;35
2023-06;1027.11;50;80;37;28;67;87;38
2023-07;1111.89;51;80;24;25;70;82;40
2023-08;1226.82;47;81;19;27;69;85;40
2023-09;1265.19;100;84;15;32;75;97;38
2023-10;1296.87;47;88;17;42;84;93;34
2023-11;1334.6;71;88;15;47;100;100;100
2023-12;1360.8;49;93;12;34;86;95;57
2024-01;1444.79;38;88;11;29;75;80;57
2024-02;1505.51;40;100;10;32;73;98;60
2024-03;1551.59;52;97;12;31;70;93;59
