Tarih;TP FG J121;Dolar;Sephora;Ramazan;İşsizlik;Cilt Bakım
2014-03;189.72;1;7;7;17;80
2014-04;191.74;1;6;9;18;77
2014-05;194.07;1;7;12;18;73
2014-06;196.17;1;7;31;19;73
2014-07;197.23;1;7;35;19;74
2014-08;198.97;1;7;6;17;72
2014-09;200.93;1;8;5;20;75
2014-10;202.51;1;8;5;18;70
2014-11;203.88;1;9;6;20;76
2014-12;204.88;1;13;6;22;66
2015-01;206.51;1;11;7;22;75
2015-02;206.5;2;10;7;22;75
2015-03;207.27;2;8;9;20;69
2015-04;209.09;2;9;10;21;68
2015-05;209.78;2;8;16;21;67
2015-06;211.6;3;10;46;23;69
2015-07;213.0;2;9;29;22;62
2015-08;214.04;3;10;5;20;59
2015-09;215.42;3;12;6;21;64
2015-10;217.01;3;11;5;23;61
2015-11;218.58;3;12;6;24;64
2015-12;219.76;2;16;8;25;60
2016-01;221.99;2;13;8;40;61
2016-02;222.99;2;13;10;39;69
2016-03;223.91;3;11;11;35;68
2016-04;225.13;2;11;13;31;70
2016-05;225.62;4;12;26;27;65
2016-06;226.96;3;13;53;30;58
2016-07;228.12;4;10;20;29;61
2016-08;228.88;2;12;6;36;58
2016-09;229.67;2;12;7;29;54
2016-10;231.05;3;11;6;44;63
2016-11;233.28;5;12;7;33;64
2016-12;236.16;6;17;7;31;60
2017-01;240.28;7;19;8;40;64
2017-02;244.99;6;17;12;37;78
2017-03;247.49;5;14;13;35;73
2017-04;250.93;5;13;18;29;76
2017-05;252.36;5;14;54;29;66
2017-06;254.57;4;18;58;30;64
2017-07;257.02;4;19;6;27;65
2017-08;257.71;3;18;6;29;67
2017-09;260.67;4;17;6;27;62
2017-10;261.58;6;13;6;31;67
2017-11;262.77;6;23;7;27;71
2017-12;266.01;5;25;7;31;74
2018-01;269.28;4;26;8;39;76
2018-02;272.17;4;18;11;31;81
2018-03;272.35;5;17;15;31;88
2018-04;277.61;6;17;27;30;74
2018-05;280.09;13;16;64;32;75
2018-06;284.23;9;21;37;31;70
2018-07;288.32;11;18;6;34;81
2018-08;294.48;51;20;6;36;68
2018-09;318.22;23;27;5;44;81
2018-10;337.41;20;18;6;42;84
2018-11;344.87;13;25;7;48;79
2018-12;347.64;10;27;8;57;82
2019-01;351.95;11;36;10;65;86
2019-02;349.39;8;29;14;51;100
2019-03;348.81;16;24;17;44;100
2019-04;354.36;20;29;37;40;86
2019-05;354.97;19;27;78;50;84
2019-06;365.13;15;45;22;43;85
2019-07;367.18;16;30;5;45;90
2019-08;363.88;15;30;6;32;87
2019-09;372.34;11;31;5;39;82
2019-10;372.77;16;30;7;40;90
2019-11;374.3;9;46;9;42;93
2019-12;373.72;9;39;10;39;84
2020-01;379.38;9;44;12;43;89
2020-02;376.81;10;34;18;36;92
2020-03;379.04;12;27;17;60;70
2020-04;384.89;11;28;64;100;64
2020-05;390.16;12;36;62;61;74
2020-06;400.01;8;41;6;49;70
2020-07;402.79;8;35;5;47;74
2020-08;405.94;16;27;5;31;69
2020-09;408.83;13;26;4;31;68
2020-10;412.07;15;25;5;28;74
2020-11;420.7;28;30;6;28;62
2020-12;422.96;12;28;8;34;62
2021-01;436.57;11;27;11;34;68
2021-02;426.7;14;25;16;27;78
2021-03;436.71;24;23;36;29;83
2021-04;442.11;17;20;78;28;59
2021-05;443.79;13;21;43;27;65
2021-06;460.0;15;27;6;32;68
2021-07;464.42;10;24;6;44;65
2021-08;477.62;11;21;4;35;74
2021-09;485.52;13;22;5;28;67
2021-10;488.7;24;21;7;25;65
2021-11;500.64;55;29;8;24;64
2021-12;552.84;100;23;10;35;56
2022-01;611.72;36;24;13;44;68
2022-02;662.14;24;23;21;40;81
2022-03;688.48;24;22;49;33;83
2022-04;685.27;14;24;81;33;84
2022-05;711.98;25;23;20;31;72
2022-06;737.36;31;27;6;36;66
2022-07;759.17;24;30;6;41;71
2022-08;789.45;19;27;5;36;76
2022-09;824.69;18;25;7;34;72
2022-10;856.64;14;25;11;32;69
2022-11;883.79;13;40;12;30;74
2022-12;905.11;10;34;17;41;74
2023-01;940.91;11;35;25;44;76
2023-02;959.45;10;30;36;35;69
2023-03;983.91;10;34;100;35;76
2023-04;992.96;12;36;67;33;86
2023-05;1003.8;16;35;9;32;82
2023-06;1027.11;37;38;9;40;77
2023-07;1111.89;24;40;6;39;77
2023-08;1226.82;19;40;6;36;74
2023-09;1265.19;15;38;9;36;80
2023-10;1296.87;17;34;10;33;78
2023-11;1334.6;15;100;12;32;69
2023-12;1360.8;12;57;17;37;75
2024-01;1444.79;11;57;24;43;74
2024-02;1505.51;10;60;51;38;78
2024-03;1551.59;12;59;82;29;74
